year,km_driven,fuel,seller_type,transmission,owner,selling_price
2007,60000,Petrol,Individual,Manual,Third Owner,80000
2014,77000,Petrol,Individual,Manual,First Owner,170000
2011,60000,Petrol,Individual,Manual,First Owner,150000
2010,77073,Petrol,Individual,Manual,Second Owner,110000
2016,70000,Diesel,Individual,Manual,First Owner,400000
2013,90000,LPG,Individual,Manual,Second Owner,275000
2013,186000,Diesel,Individual,Manual,Third Owner,800000
2014,90000,Diesel,Individual,Manual,First Owner,550000
2007,100000,Petrol,Individual,Manual,Second Owner,125000
2010,80000,Petrol,Individual,Manual,Second Owner,135000
2012,150000,Diesel,Individual,Manual,First Owner,349000
2014,80000,Diesel,Individual,Manual,First Owner,458000
2018,35000,Petrol,Individual,Manual,First Owner,300000
2008,70000,Petrol,Individual,Manual,First Owner,95000
2018,50000,Diesel,Individual,Manual,First Owner,850000
2019,25000,Diesel,Individual,Manual,First Owner,750000
2013,120000,Diesel,Individual,Manual,First Owner,190000
2009,70000,Petrol,Individual,Manual,First Owner,150000
2009,106000,Petrol,Individual,Manual,Third Owner,114999
2010,120000,Petrol,Individual,Manual,Third Owner,320000
2019,120000,CNG,Individual,Manual,First Owner,300000
2016,160000,Petrol,Individual,Manual,First Owner,275000
2010,120000,Petrol,Individual,Manual,Second Owner,140000
2020,10000,Petrol,Individual,Manual,First Owner,830000
2013,50000,Petrol,Individual,Manual,First Owner,380000
2010,90000,Petrol,Individual,Manual,Second Owner,150000
2008,70000,Petrol,Individual,Manual,First Owner,50000
2008,100000,Diesel,Individual,Manual,First Owner,155000
2008,100000,Diesel,Individual,Manual,First Owner,155000
2010,80000,Petrol,Individual,Manual,First Owner,300000
2018,16584,Petrol,Dealer,Manual,First Owner,300000
2016,38000,Diesel,Dealer,Manual,First Owner,385000
2010,51000,Petrol,Dealer,Manual,First Owner,221000
2016,38000,Diesel,Dealer,Manual,First Owner,381000
2015,35000,Petrol,Dealer,Manual,First Owner,250999
2002,120000,Petrol,Individual,Manual,Third Owner,60000
2016,38000,Diesel,Dealer,Manual,First Owner,380000
2008,144000,Diesel,Individual,Manual,Third Owner,180000
2017,64000,Diesel,Dealer,Manual,First Owner,751000
2015,60000,Diesel,Dealer,Automatic,First Owner,1250000
2014,65000,Petrol,Dealer,Manual,First Owner,229999
2019,24000,Diesel,Individual,Manual,First Owner,1250000
2014,58000,Diesel,Dealer,Manual,Second Owner,782000
2014,58000,Diesel,Dealer,Manual,Second Owner,780000
2016,68000,Petrol,Dealer,Manual,First Owner,245000
2011,81257,Diesel,Dealer,Manual,First Owner,321000
2017,44000,Diesel,Dealer,Manual,First Owner,509999
2015,45000,Petrol,Dealer,Manual,First Owner,110000
2013,75000,Diesel,Dealer,Manual,First Owner,400000
2013,90000,Petrol,Individual,Manual,First Owner,370000
2007,80000,Diesel,Individual,Manual,Second Owner,175000
1998,35000,Petrol,Individual,Automatic,Second Owner,1000000
2013,25000,Petrol,Individual,Manual,Second Owner,92800
2014,90000,Diesel,Individual,Manual,First Owner,291000
2013,25000,Petrol,Individual,Manual,Second Owner,92800
2013,110000,Diesel,Individual,Manual,Third Owner,335000
2013,35000,Petrol,Individual,Manual,First Owner,170000
2019,10000,Petrol,Individual,Manual,First Owner,295000
2019,10000,Petrol,Individual,Manual,First Owner,375000
2012,70000,Petrol,Individual,Manual,Second Owner,215000
2009,110000,Diesel,Individual,Manual,Second Owner,150000
2003,5000,Petrol,Individual,Manual,Second Owner,60000
2006,120000,Petrol,Individual,Manual,Third Owner,52000
2009,90000,LPG,Individual,Manual,Second Owner,80000
2012,70000,Petrol,Individual,Manual,Second Owner,140000
2008,90000,Petrol,Individual,Manual,Second Owner,120000
2006,120000,Diesel,Individual,Manual,Third Owner,110000
2012,110000,Diesel,Individual,Manual,Fourth & Above Owner,280000
2016,50000,Diesel,Individual,Manual,Second Owner,450000
2018,58000,Diesel,Individual,Manual,First Owner,1150000
2018,15000,Diesel,Individual,Manual,First Owner,650000
2015,60000,Petrol,Individual,Manual,Second Owner,300000
2015,57000,Petrol,Individual,Manual,First Owner,73000
2015,87000,Diesel,Individual,Manual,Third Owner,400000
2017,70000,Petrol,Individual,Manual,First Owner,300000
2012,30000,Petrol,Individual,Automatic,Second Owner,300000
2012,80000,Diesel,Individual,Manual,First Owner,450000
2009,100000,Petrol,Individual,Manual,Second Owner,200000
2019,40000,Petrol,Individual,Manual,First Owner,580000
2017,3917,Petrol,Individual,Manual,First Owner,550000
2007,160000,Diesel,Individual,Manual,Second Owner,190000
2017,35000,Diesel,Individual,Manual,First Owner,450000
2014,70000,Petrol,Individual,Manual,First Owner,220000
2012,69069,Petrol,Dealer,Manual,First Owner,310000
2019,13500,Petrol,Individual,Manual,First Owner,650000
2014,59059,Petrol,Dealer,Manual,First Owner,300000
2013,70000,Petrol,Individual,Manual,First Owner,200000
2012,39039,Petrol,Dealer,Manual,First Owner,285000
2014,33033,Petrol,Dealer,Manual,First Owner,335000
2011,55168,Petrol,Individual,Manual,Second Owner,370000
2013,41041,Petrol,Dealer,Manual,First Owner,375000
2009,67067,Petrol,Dealer,Manual,First Owner,235000
2013,66066,Petrol,Dealer,Automatic,First Owner,345000
2013,82082,Diesel,Dealer,Manual,First Owner,365000
2014,48000,Petrol,Individual,Manual,First Owner,400000
2015,30000,Petrol,Individual,Manual,First Owner,250000
2012,70070,Diesel,Dealer,Automatic,First Owner,465000
2017,10000,Petrol,Individual,Manual,First Owner,300000
2018,25000,Petrol,Individual,Manual,First Owner,655000
2016,30000,CNG,Individual,Manual,Second Owner,350000
2015,50000,Petrol,Dealer,Automatic,First Owner,500000
2015,63063,Petrol,Dealer,Automatic,First Owner,465000
2008,70000,Diesel,Individual,Manual,First Owner,263000
2012,90000,Petrol,Individual,Manual,First Owner,250000
1999,90000,Petrol,Individual,Manual,Fourth & Above Owner,60000
2005,90000,Petrol,Individual,Manual,Third Owner,70000
2016,30000,Petrol,Individual,Manual,First Owner,250000
2016,80000,Petrol,Individual,Manual,First Owner,229999
2011,120000,Diesel,Individual,Manual,First Owner,195000
2016,22000,Petrol,Individual,Manual,First Owner,270000
2017,140000,Diesel,Individual,Manual,First Owner,650000
2014,80000,Diesel,Individual,Manual,Second Owner,370000
2016,40000,Diesel,Individual,Manual,First Owner,509999
2011,33000,Petrol,Individual,Manual,First Owner,280000
2010,40000,Petrol,Individual,Manual,First Owner,180000
2018,10500,Petrol,Individual,Manual,First Owner,300000
2013,107000,Diesel,Individual,Manual,First Owner,400000
2010,60000,Petrol,Individual,Manual,Second Owner,210000
2006,120000,Petrol,Individual,Manual,Second Owner,90000
2010,70000,Petrol,Individual,Manual,First Owner,222000
2015,50000,Petrol,Individual,Manual,Second Owner,240000
2013,70000,Diesel,Individual,Manual,Second Owner,450000
2017,6000,Petrol,Individual,Manual,First Owner,650000
2010,78000,Diesel,Dealer,Manual,Second Owner,200000
2011,72000,Diesel,Dealer,Manual,Third Owner,210000
2011,9528,Petrol,Dealer,Manual,First Owner,75000
2011,135200,Diesel,Dealer,Manual,First Owner,450000
2011,58000,Petrol,Dealer,Manual,Second Owner,220000
2013,78000,Diesel,Dealer,Manual,Second Owner,325000
2018,45000,Petrol,Individual,Manual,First Owner,450000
2017,35000,Diesel,Individual,Manual,First Owner,825000
2007,76000,Petrol,Dealer,Manual,Third Owner,125000
2015,100000,Diesel,Individual,Manual,Third Owner,434999
2011,99000,Diesel,Individual,Manual,Second Owner,484999
2009,80000,Diesel,Individual,Manual,Third Owner,175000
2006,120000,Petrol,Individual,Manual,Third Owner,220000
2020,1100,Petrol,Dealer,Manual,First Owner,1250000
2017,34000,Petrol,Dealer,Manual,First Owner,215000
2014,68000,Diesel,Dealer,Manual,First Owner,625000
2018,15000,Diesel,Individual,Manual,First Owner,615000
2012,58000,Diesel,Dealer,Manual,First Owner,130000
2013,50300,Diesel,Individual,Manual,First Owner,175000
2011,70000,Diesel,Individual,Manual,Second Owner,150000
2011,60000,Diesel,Individual,Manual,Third Owner,195000
2020,90000,Diesel,Individual,Manual,First Owner,550000
2018,40000,Diesel,Individual,Manual,First Owner,1500000
2010,80000,Petrol,Individual,Manual,Second Owner,400000
2019,15000,Diesel,Individual,Manual,First Owner,1350000
2015,45000,Petrol,Individual,Manual,First Owner,217000
2011,130000,Diesel,Individual,Manual,Second Owner,290000
2018,80000,Diesel,Individual,Manual,First Owner,700000
2014,40000,Petrol,Individual,Manual,First Owner,175000
2017,80000,Diesel,Individual,Manual,First Owner,575000
2016,100000,Diesel,Individual,Manual,Second Owner,380000
2013,151624,Diesel,Individual,Manual,Second Owner,350000
2012,160000,Diesel,Individual,Manual,First Owner,450000
2005,110000,CNG,Individual,Manual,Second Owner,130000
2015,74820,Diesel,Individual,Manual,First Owner,320000
2014,82000,Diesel,Individual,Manual,First Owner,550000
2015,50000,Petrol,Individual,Manual,Second Owner,370000
2010,70000,Petrol,Individual,Manual,Second Owner,114999
2020,1000,Petrol,Individual,Manual,First Owner,1100000
2006,170000,Diesel,Individual,Manual,First Owner,170000
2008,150000,Diesel,Individual,Manual,Third Owner,80000
2019,17000,Diesel,Individual,Manual,First Owner,950000
2014,150000,Diesel,Individual,Manual,First Owner,425000
2015,80000,Diesel,Individual,Manual,First Owner,500000
2005,170000,Petrol,Individual,Manual,Third Owner,70000
2013,120000,Diesel,Individual,Manual,First Owner,349000
2012,90000,Petrol,Individual,Manual,Third Owner,330000
2010,90000,Petrol,Individual,Manual,Third Owner,120000
2013,100000,Diesel,Individual,Manual,Second Owner,430000
2014,90000,Diesel,Individual,Manual,First Owner,390000
2012,129000,Diesel,Individual,Manual,First Owner,225000
2010,186000,Diesel,Individual,Automatic,Second Owner,350000
2009,66778,Diesel,Individual,Manual,First Owner,100000
2014,50000,Petrol,Individual,Manual,First Owner,190000
2014,110000,Diesel,Individual,Manual,Second Owner,315000
2015,60000,Diesel,Individual,Manual,Second Owner,300000
2016,40000,Petrol,Individual,Manual,First Owner,280000
2017,55000,Diesel,Dealer,Manual,First Owner,1650000
2015,21000,Petrol,Dealer,Manual,Second Owner,295000
2012,66363,Petrol,Dealer,Automatic,Second Owner,2050000
2018,11700,Petrol,Dealer,Automatic,First Owner,1475000
2017,10000,Petrol,Individual,Automatic,First Owner,1100000
2014,100000,Diesel,Individual,Automatic,Second Owner,4400000
2016,7104,Petrol,Trustmark Dealer,Manual,First Owner,670000
2015,45974,Diesel,Trustmark Dealer,Manual,First Owner,750000
2015,55340,Petrol,Trustmark Dealer,Manual,First Owner,760000
2017,20000,Petrol,Dealer,Automatic,Second Owner,850000
2015,61585,Diesel,Trustmark Dealer,Manual,First Owner,390000
2016,39415,Petrol,Trustmark Dealer,Automatic,Second Owner,450000
2014,29654,Petrol,Trustmark Dealer,Manual,First Owner,425000
2016,64672,Diesel,Trustmark Dealer,Manual,First Owner,770000
2015,54634,Diesel,Trustmark Dealer,Automatic,Second Owner,1150000
2015,66521,Petrol,Trustmark Dealer,Manual,First Owner,775000
2019,3000,Petrol,Individual,Automatic,First Owner,720000
2018,23974,Diesel,Dealer,Automatic,Second Owner,1725000
2018,10000,Petrol,Individual,Manual,First Owner,539000
2017,50000,Petrol,Individual,Manual,First Owner,420000
2001,70000,Petrol,Individual,Manual,Third Owner,85000
2004,73000,Petrol,Individual,Manual,Fourth & Above Owner,142000
2014,76000,Petrol,Individual,Manual,Second Owner,180000
2014,120000,Diesel,Individual,Manual,Second Owner,400000
2009,170000,Diesel,Individual,Automatic,Third Owner,360000
2003,110000,Petrol,Individual,Manual,Second Owner,85000
2016,63400,Petrol,Individual,Manual,First Owner,350000
2015,25000,Petrol,Individual,Manual,First Owner,380000
2009,80000,Petrol,Individual,Manual,Third Owner,140000
2012,90000,Petrol,Individual,Manual,First Owner,200000
2011,157000,Petrol,Individual,Manual,First Owner,150000
2012,80000,Diesel,Individual,Manual,Second Owner,150000
2006,40000,Petrol,Individual,Manual,Second Owner,90000
2007,100000,Diesel,Individual,Manual,Second Owner,300000
2017,50000,Petrol,Individual,Manual,First Owner,280000
2011,40000,Petrol,Individual,Manual,First Owner,200000
2009,38500,Petrol,Individual,Manual,Second Owner,110000
2008,103921,Petrol,Individual,Manual,Second Owner,140000
2020,10000,Diesel,Individual,Manual,First Owner,1050000
2018,14825,Petrol,Dealer,Manual,First Owner,1150000
2016,43377,Diesel,Dealer,Manual,First Owner,910000
2010,102307,Diesel,Dealer,Manual,First Owner,160000
2004,79000,Petrol,Individual,Manual,Second Owner,105000
2014,135000,Diesel,Individual,Automatic,Third Owner,1200000
2018,10500,Petrol,Individual,Manual,First Owner,300000
2004,90000,Petrol,Individual,Manual,Fourth & Above Owner,70000
2012,110000,Diesel,Individual,Manual,First Owner,160000
2012,50000,Diesel,Individual,Manual,First Owner,160000
2013,80000,Diesel,Individual,Manual,First Owner,225000
2018,19571,Diesel,Dealer,Manual,First Owner,790000
2002,100000,Petrol,Individual,Manual,First Owner,145000
2018,29600,Petrol,Dealer,Manual,First Owner,1200000
2018,20000,Diesel,Individual,Manual,First Owner,930000
2016,30000,Petrol,Individual,Manual,First Owner,210000
2008,154000,Diesel,Individual,Manual,Third Owner,110000
2011,70000,Petrol,Individual,Manual,First Owner,175000
2018,15000,Diesel,Individual,Automatic,First Owner,950000
2017,40000,Diesel,Individual,Manual,First Owner,650000
2019,51000,Petrol,Individual,Manual,First Owner,550000
2008,120000,Petrol,Individual,Manual,Second Owner,85000
2019,50000,Petrol,Individual,Manual,First Owner,340000
2017,13500,Diesel,Individual,Manual,First Owner,825000
2016,35000,Petrol,Individual,Manual,First Owner,509999
2013,1000,Diesel,Dealer,Manual,Second Owner,450000
2018,10000,Diesel,Dealer,Automatic,First Owner,3800000
2013,86000,Diesel,Dealer,Automatic,First Owner,1580000
2019,30000,Diesel,Dealer,Automatic,First Owner,4950000
2016,52600,Diesel,Individual,Manual,First Owner,535000
2012,110000,Petrol,Individual,Manual,Second Owner,225000
2017,19890,Petrol,Dealer,Automatic,First Owner,550000
2016,7104,Petrol,Trustmark Dealer,Manual,First Owner,670000
2015,11918,Petrol,Trustmark Dealer,Manual,First Owner,625000
2017,10510,Petrol,Dealer,Automatic,First Owner,520000
2016,41000,Petrol,Dealer,Manual,First Owner,239000
2017,47162,Diesel,Trustmark Dealer,Automatic,First Owner,2600000
2015,45974,Diesel,Trustmark Dealer,Manual,First Owner,750000
2012,49824,Petrol,Dealer,Manual,First Owner,229999
2013,58500,Diesel,Dealer,Automatic,First Owner,1300000
2005,56580,Petrol,Dealer,Manual,First Owner,80000
2012,52000,Diesel,Dealer,Manual,First Owner,385000
2015,55340,Petrol,Trustmark Dealer,Manual,First Owner,760000
2017,46507,Diesel,Trustmark Dealer,Manual,First Owner,600000
2013,1000,Diesel,Dealer,Manual,Second Owner,450000
2018,10000,Diesel,Dealer,Automatic,First Owner,3800000
2013,86000,Diesel,Dealer,Automatic,First Owner,1580000
2019,30000,Diesel,Dealer,Automatic,First Owner,4950000
2016,52600,Diesel,Individual,Manual,First Owner,535000
2012,110000,Petrol,Individual,Manual,Second Owner,225000
2017,19890,Petrol,Dealer,Automatic,First Owner,550000
2016,7104,Petrol,Trustmark Dealer,Manual,First Owner,670000
2015,11918,Petrol,Trustmark Dealer,Manual,First Owner,625000
2017,10510,Petrol,Dealer,Automatic,First Owner,520000
2016,41000,Petrol,Dealer,Manual,First Owner,239000
2017,47162,Diesel,Trustmark Dealer,Automatic,First Owner,2600000
2015,45974,Diesel,Trustmark Dealer,Manual,First Owner,750000
2012,49824,Petrol,Dealer,Manual,First Owner,229999
2013,58500,Diesel,Dealer,Automatic,First Owner,1300000
2005,56580,Petrol,Dealer,Manual,First Owner,80000
2012,52000,Diesel,Dealer,Manual,First Owner,385000
2015,55340,Petrol,Trustmark Dealer,Manual,First Owner,760000
2017,46507,Diesel,Trustmark Dealer,Manual,First Owner,600000
2017,70000,Diesel,Individual,Manual,First Owner,650000
2011,60000,Petrol,Individual,Manual,Second Owner,140000
2011,70000,Petrol,Individual,Manual,First Owner,150000
2018,10000,Petrol,Individual,Manual,Second Owner,450000
2006,245244,Diesel,Individual,Manual,Fourth & Above Owner,170000
2017,60000,Petrol,Individual,Manual,First Owner,400000
2016,30000,Petrol,Individual,Manual,First Owner,300000
2012,8000,Petrol,Individual,Manual,First Owner,250000
2019,10000,Petrol,Individual,Manual,First Owner,500000
2002,100000,Diesel,Individual,Manual,Third Owner,85000
2012,110000,Diesel,Individual,Manual,First Owner,300000
2005,56580,Petrol,Dealer,Manual,First Owner,80000
2015,45000,Diesel,Dealer,Automatic,First Owner,740000
2005,68500,Petrol,Dealer,Manual,First Owner,70000
2019,5007,Petrol,Dealer,Automatic,First Owner,484999
2013,30000,Petrol,Individual,Manual,First Owner,164000
2008,70000,Petrol,Individual,Automatic,First Owner,140000
2011,49600,Diesel,Dealer,Automatic,First Owner,999000
2005,23000,Petrol,Individual,Manual,Second Owner,56000
2006,30000,Diesel,Dealer,Automatic,First Owner,1050000
2010,38000,Petrol,Dealer,Manual,First Owner,190000
2018,22000,Diesel,Dealer,Automatic,First Owner,3899000
2011,43100,Petrol,Dealer,Manual,First Owner,235000
2017,10171,Petrol,Dealer,Manual,First Owner,350000
2015,41123,Diesel,Dealer,Manual,First Owner,465000
2017,20118,Petrol,Dealer,Automatic,First Owner,1900000
2014,40000,Diesel,Dealer,Manual,First Owner,450000
2015,52517,Diesel,Dealer,Manual,First Owner,790000
2019,20000,Diesel,Individual,Manual,First Owner,900000
2014,99117,Diesel,Dealer,Manual,First Owner,450000
2009,90000,Petrol,Individual,Manual,First Owner,135000
2019,3700,Petrol,Individual,Manual,First Owner,425000
2010,80000,Diesel,Individual,Manual,First Owner,100000
2015,100000,Diesel,Individual,Manual,Second Owner,650000
2011,54000,Diesel,Individual,Manual,First Owner,90000
2017,19000,Petrol,Individual,Manual,First Owner,250000
2014,120000,Diesel,Individual,Manual,First Owner,300000
2014,30000,Petrol,Individual,Manual,First Owner,275000
2017,43500,Petrol,Individual,Manual,First Owner,600000
2016,60000,Petrol,Individual,Manual,Second Owner,270000
2016,70000,Petrol,Individual,Manual,Second Owner,240000
2014,135000,Diesel,Individual,Automatic,Third Owner,1200000
2012,50000,Diesel,Individual,Manual,First Owner,160000
2018,19571,Diesel,Dealer,Manual,First Owner,790000
2018,29600,Petrol,Dealer,Manual,First Owner,1200000
2011,70000,Petrol,Individual,Manual,First Owner,175000
2018,15000,Diesel,Individual,Automatic,First Owner,950000
2019,50000,Petrol,Individual,Manual,First Owner,340000
2017,13500,Diesel,Individual,Manual,First Owner,825000
2018,22000,Petrol,Individual,Automatic,First Owner,3100000
2018,25000,Diesel,Dealer,Manual,First Owner,780000
2010,80000,Petrol,Individual,Automatic,Third Owner,350000
2018,39000,Petrol,Dealer,Manual,First Owner,690000
2016,60000,Petrol,Individual,Manual,First Owner,245000
2018,49000,Diesel,Dealer,Manual,First Owner,790000
2018,48600,Petrol,Dealer,Manual,First Owner,680000
2017,20000,Petrol,Individual,Manual,Second Owner,540000
2016,25000,Petrol,Individual,Manual,First Owner,425000
2008,120000,Petrol,Individual,Manual,First Owner,140000
2019,30000,Diesel,Individual,Manual,First Owner,1100000
2015,35000,Diesel,Individual,Manual,First Owner,715000
2013,90000,Petrol,Individual,Manual,First Owner,370000
2007,80000,Diesel,Individual,Manual,Second Owner,175000
1998,35000,Petrol,Individual,Automatic,Second Owner,1000000
2013,25000,Petrol,Individual,Manual,Second Owner,92800
2014,90000,Diesel,Individual,Manual,First Owner,291000
2013,25000,Petrol,Individual,Manual,Second Owner,92800
2016,20000,Petrol,Individual,Manual,First Owner,350000
1998,60000,Petrol,Dealer,Manual,Third Owner,65000
2015,58000,Diesel,Individual,Manual,First Owner,650000
2014,40000,Petrol,Dealer,Manual,First Owner,350000
2005,70000,Petrol,Individual,Manual,Second Owner,75000
2012,70000,Diesel,Dealer,Manual,First Owner,440000
2013,60000,Petrol,Individual,Manual,First Owner,270000
2014,135000,Diesel,Dealer,Manual,First Owner,1150000
2015,70000,Petrol,Dealer,Manual,First Owner,238000
2013,40000,Petrol,Individual,Automatic,Second Owner,1100000
2015,75000,Diesel,Dealer,Manual,Second Owner,1200000
2010,150000,Diesel,Individual,Manual,First Owner,260000
2012,140000,Diesel,Individual,Manual,Third Owner,350000
2015,70000,Diesel,Individual,Manual,First Owner,480000
2012,137250,Diesel,Individual,Manual,Second Owner,345000
2013,110000,Diesel,Individual,Manual,Second Owner,500000
2017,27000,Petrol,Dealer,Manual,First Owner,595000
2019,9000,Diesel,Dealer,Manual,First Owner,1295000
2019,5400,Diesel,Dealer,Manual,Test Drive Car,1350000
2020,1000,Petrol,Dealer,Manual,Test Drive Car,541000
2018,16000,Petrol,Dealer,Manual,First Owner,515000
2019,13000,Diesel,Dealer,Manual,Test Drive Car,894999
2012,47000,Diesel,Dealer,Manual,First Owner,325000
2018,22000,Petrol,Individual,Manual,First Owner,925000
2017,30000,Petrol,Individual,Manual,First Owner,844999
2018,20000,Petrol,Individual,Manual,First Owner,925000
2013,60000,Diesel,Individual,Manual,First Owner,300000
2008,75000,Petrol,Individual,Manual,Second Owner,650000
2010,64000,Petrol,Dealer,Manual,First Owner,175000
2015,80000,Diesel,Individual,Manual,First Owner,325000
2017,90000,Diesel,Individual,Manual,First Owner,600000
2018,30000,Petrol,Individual,Manual,First Owner,700000
2003,120000,Petrol,Individual,Automatic,Second Owner,95000
2019,20000,Petrol,Dealer,Manual,First Owner,490000
2013,100000,Diesel,Individual,Manual,First Owner,380000
2018,31000,Petrol,Dealer,Manual,First Owner,550000
2013,47000,Petrol,Dealer,Manual,First Owner,225000
2018,11200,Petrol,Individual,Manual,First Owner,570000
2018,35000,Petrol,Dealer,Manual,First Owner,305000
2010,50000,LPG,Dealer,Manual,First Owner,240000
2015,55000,Diesel,Dealer,Manual,First Owner,700000
2018,20000,Petrol,Dealer,Manual,First Owner,288000
2017,75000,Diesel,Dealer,Manual,First Owner,800000
2017,93000,Petrol,Dealer,Manual,First Owner,430000
2009,57000,Diesel,Dealer,Manual,Second Owner,195000
2014,30000,Petrol,Dealer,Manual,First Owner,325000
2013,73000,Diesel,Dealer,Manual,First Owner,450000
2016,65000,Diesel,Dealer,Manual,First Owner,630000
2009,62000,Petrol,Dealer,Manual,Second Owner,250000
2007,85000,Petrol,Dealer,Manual,First Owner,135000
2010,73000,Petrol,Individual,Manual,First Owner,110000
2012,55000,Diesel,Dealer,Manual,First Owner,350000
2016,5800,Petrol,Individual,Manual,Second Owner,240000
2009,350000,Diesel,Individual,Manual,First Owner,350000
2018,30000,Petrol,Individual,Manual,First Owner,600000
2018,20000,Diesel,Individual,Manual,First Owner,750000
2018,20000,Petrol,Individual,Manual,First Owner,270000
2007,100000,Petrol,Individual,Manual,Second Owner,90000
2013,65000,Petrol,Individual,Manual,First Owner,350000
2013,90000,Diesel,Individual,Manual,Second Owner,285000
2011,267000,Diesel,Individual,Manual,Second Owner,665000
2005,250000,Diesel,Individual,Manual,Second Owner,175000
2011,140000,Diesel,Individual,Manual,Second Owner,350000
2018,22000,Petrol,Dealer,Automatic,First Owner,1225000
2010,60000,Petrol,Dealer,Manual,Second Owner,285000
2018,28635,Petrol,Dealer,Manual,First Owner,1000000
2018,32114,Diesel,Dealer,Manual,First Owner,780000
2014,82000,Petrol,Dealer,Manual,Second Owner,300000
2006,95149,Petrol,Dealer,Manual,Second Owner,160000
2018,68458,Petrol,Dealer,Manual,First Owner,625000
2010,42000,Petrol,Individual,Manual,First Owner,265000
2014,90000,Diesel,Individual,Manual,Second Owner,515000
2016,30000,Petrol,Individual,Manual,First Owner,210000
2009,80000,Petrol,Individual,Manual,Second Owner,140000
2015,128000,Diesel,Individual,Manual,First Owner,940000
2013,80000,Diesel,Individual,Manual,First Owner,750000
2016,100000,Diesel,Individual,Manual,First Owner,610000
2015,50000,Diesel,Individual,Manual,First Owner,450000
2012,56000,Diesel,Individual,Manual,First Owner,409999
2018,21302,Petrol,Individual,Manual,First Owner,100000
2016,100000,Diesel,Individual,Manual,First Owner,650000
2017,80000,Diesel,Individual,Manual,First Owner,650000
2010,105546,Petrol,Individual,Manual,First Owner,150000
2018,10000,Petrol,Individual,Manual,First Owner,500000
2012,80000,Diesel,Individual,Manual,Second Owner,1000000
2013,35000,Petrol,Individual,Manual,First Owner,340000
2019,11240,Petrol,Individual,Manual,First Owner,800000
2013,120000,Diesel,Individual,Manual,First Owner,1010000
2011,120000,Diesel,Individual,Manual,Third Owner,350000
2016,70000,Diesel,Individual,Manual,First Owner,595000
2014,130000,Diesel,Individual,Manual,Third Owner,700000
2019,40000,Petrol,Individual,Manual,First Owner,265000
2015,60000,Petrol,Individual,Manual,Second Owner,320000
2011,110000,Petrol,Individual,Manual,First Owner,310000
2014,130000,Diesel,Individual,Manual,First Owner,700000
2009,80000,Petrol,Individual,Manual,Second Owner,130000
2009,120000,Diesel,Individual,Manual,Second Owner,150000
2015,104000,Diesel,Individual,Manual,Second Owner,300000
2011,100000,Petrol,Individual,Manual,Second Owner,150000
2003,132343,Petrol,Individual,Manual,Second Owner,120000
2016,90000,Diesel,Individual,Manual,Second Owner,950000
2007,60000,Petrol,Individual,Manual,Second Owner,100000
2015,76000,Diesel,Individual,Manual,First Owner,450000
2004,60000,Petrol,Individual,Manual,Third Owner,30000
2009,30000,Petrol,Individual,Manual,Second Owner,200000
2010,96000,Diesel,Individual,Manual,Second Owner,250000
2018,10000,Diesel,Individual,Manual,First Owner,1300000
2017,36000,Diesel,Dealer,Manual,First Owner,425000
2017,12997,Diesel,Dealer,Manual,First Owner,550000
2017,40000,Petrol,Individual,Automatic,First Owner,500000
2018,26430,Diesel,Dealer,Manual,First Owner,1150000
2015,24600,Petrol,Dealer,Manual,First Owner,475000
2011,28481,Petrol,Dealer,Manual,First Owner,260000
2013,100000,Petrol,Individual,Manual,First Owner,350000
2013,41988,Diesel,Dealer,Manual,First Owner,750000
2009,30375,Petrol,Dealer,Manual,First Owner,180000
2017,7658,Petrol,Dealer,Automatic,First Owner,350000
2017,34400,Diesel,Dealer,Manual,First Owner,611000
2017,18500,Petrol,Dealer,Manual,First Owner,325000
2015,26134,Petrol,Dealer,Manual,First Owner,280000
2014,28942,Petrol,Dealer,Automatic,First Owner,300000
2012,53600,Diesel,Dealer,Manual,First Owner,711000
2015,53652,Diesel,Dealer,Manual,First Owner,851000
2011,52895,Diesel,Dealer,Manual,First Owner,260000
2013,42324,Diesel,Dealer,Manual,Second Owner,550000
2016,65000,Diesel,Dealer,Manual,First Owner,1044999
2012,60236,Diesel,Dealer,Manual,First Owner,550000
2014,70000,Petrol,Individual,Manual,Second Owner,210000
2014,70000,Petrol,Individual,Manual,Third Owner,210000
2009,100000,Diesel,Individual,Manual,Second Owner,290000
2008,110000,Diesel,Individual,Manual,First Owner,250999
2019,10300,Petrol,Individual,Manual,First Owner,600000
2014,120000,Diesel,Individual,Manual,Second Owner,270000
2012,142000,Diesel,Individual,Manual,First Owner,550000
2017,25000,Diesel,Individual,Manual,First Owner,800000
2020,5000,Petrol,Individual,Manual,First Owner,500000
2016,52600,Diesel,Individual,Manual,First Owner,535000
2016,28643,Petrol,Dealer,Manual,First Owner,396000
2014,50000,Diesel,Individual,Manual,First Owner,600000
2019,30000,Petrol,Dealer,Manual,First Owner,575000
2020,5000,Petrol,Individual,Manual,First Owner,520000
2018,30000,Diesel,Individual,Automatic,First Owner,1400000
2018,7600,Petrol,Individual,Automatic,First Owner,600000
2013,47253,Diesel,Dealer,Manual,First Owner,195000
2015,4432,Petrol,Dealer,Automatic,Second Owner,281000
2010,110000,Petrol,Individual,Manual,Second Owner,75000
2014,25000,Petrol,Individual,Manual,First Owner,400000
2009,70000,Diesel,Individual,Manual,Second Owner,93000
